题号,答案,题目,错误答案
37,红茶,哪一种茶是发酵茶?,绿茶
38,豆科,含羞草属于什么科的植物?,草科
39,小米,五谷中的稷是指什么?,小麦
40,救命,有两个人掉进了井里，死的人叫死人，活的人叫什么？,生还者
41,在奶奶面前,爸爸在什么时候更像个孩子？,在妈妈面前
42,再买一根,一根针掉进了海里后，该怎么办？,把海水吸干
43,8个,李伯伯一共有7个儿子，这7个儿子又各有一个亲妹妹。李伯伯最可能有几个子女？,7个
44,凸镜,在汽车前面供驾驶员看左右和后面车辆的是什么？,凹镜
45,喵,小猫掉进了河里，大猫将其救起。问：小猫被救上岸时，会说什么？,谢谢
46,50周年,一般金婚是纪念结婚多少年？,40周年
47,你不是哑巴,当你向别人炫耀自己琴棋书画样样精通时，别人还会知道些什么？,你是神童
48,高,北极的气温与南极的气温相比怎样？,一样
49,震妖除邪,婚礼上放鞭炮最初是为了什么？,动天拜地
50,巴西利亚,巴西的首都是哪座城市？,圣保罗
51,银杏,下面哪一种树被称为“活化石”？,铁树
52,考卷上的,妈妈最讨厌哪种鸭蛋？,咸鸭蛋
53,浓茶,发烧时不宜喝什么饮料？,橙汁
54,卵生动物,企鹅是一种什么生物？,胎生动物
55,大鲵,“娃娃鱼”是指什么？,海豚
56,因特网,INTERNET的中文名称是什么？,因特莱特
57,避光处,贮存土豆时应放在什么地方？,通风处
58,浪费,生态危机与人类的哪个行为关系最密切？,呼吸
59,双层,骆驼有几层眼睫毛？,单层
60,鱼,有甲也有盔，有眼没有眉，无脚会赶路，有翅不会飞，这是什么？?,龟
61,捕食方式,蚁狮常挖一个坑，然后身体埋在坑底，头部露在沙外。目的是什么？,吸引异性
62,瞌睡虫,拳击冠军很容易被谁击倒？,老婆
63,围棋,古人称为“手谈”的是指什么？,作画
64,厚的玻璃杯,冬天倒开水时，容易爆破的杯子是哪种？,厚的瓷杯
65,迈另一只脚,当哥伦布一只脚迈上新大陆后，紧接着做什么？,告知世人
66,亚马逊河,比长江还要长的河是什么？,多瑙河
67,决明草,煎服哪种中草药对近视眼有很好的效果？,识明草
68,站着睡,马是怎样睡觉的？,蹲着睡
69,荧屏中的人,什么样的人死后还会出现？,幽灵
70,瑶姬,传说中的巫山神女名叫什么？,玄女
71,石墨,金刚石的组成元素与下列什么物质相同？,玻璃
72,0,把8分成两半，是多少？,还是8
73,跑去捉老鼠,猫见了老鼠为什么拔腿就跑？,超级老鼠
74,头顶正中,“百会穴”在什么地方？,鼻梁正下方
75,右耳,大象的左边耳朵像什么？,芭蕉扇
76,老鹰,鸢的俗称是什么？,鹤
77,灵芝,神话《白蛇传》中“白娘娘盗仙草”盗的是什么？,人参
78,浣熊科,小熊猫属于哪个科？,犬科
79,有机宝石,琥珀属于哪种宝石？,再造宝石
80,凸透镜,放大镜的设计原理是什么？,凹透镜
81,雌蜂,蜜蜂中的“蜂王”是什么性别？,不一定
82,射击,什么事睁一只眼闭一只眼比较好？,小事
83,沙漠,仙人掌原产自哪里？,海边
84,假牙,哪颗牙最后长出来？,门牙
85,元好问,“问世间，情是何物，直教生死相许”语出自谁？,柳永
86,加热,喝白酒时，最好处于什么温度？,冷冻
87,倒退着游,墨鱼在水中游动时，其方向是怎样的？,往前游
88,木头,为了表演的需要，芭蕾鞋的鞋尖内塞有一小块什么东西？,海绵
89,有碍消化,饱食后不宜做剧烈运动这是因为什么？,会得阑尾炎
90,相扑,"两人徙手较量,以将对方摔倒或推出界外为胜的比赛是什么？",柔道
91,头,南瓜和菠萝砸头，哪个疼些？,菠萝
92,朱古力,一头猪说：“加油啊！”，打一食品。,猪油
93,夜明珠,你打猎打到一只很出名的猪，你说了句话?打一物品。,玻璃珠
94,薯片,老鼠对野马说：“我昨天跟猫约会呢！”，打一食物。,红薯
95,霍元甲,下列哪位武术家是迷踪拳的创始人?,李存义
96,100,什么数字最听话呢？,1
97,电风扇,一朵盛开在家里的花，却被关在笼子里。请问这是什么？,向日葵
98,非洲,咖啡的故乡是哪里?,美洲
99,红绿,色盲患者最普遍的不易分辨的颜色是什么?,蓝绿
100,1千瓦时,电度表上的一度电表示耗电量为多少？,1百瓦时
101,战争,奥运会上的马拉松比赛的起源与什么有关?,竞赛
102,半岁,"看鱼鳞能识鱼龄,鱼鳞上的一圈是表示多少岁？",一岁
103,太行山,山东山西的“山”是指什么？,泰山
104,巨鹿之战,“破釜沉舟”这个成语出于哪次战争?,长平之战
105,汉武帝,“金屋藏娇”的故事与哪一位皇帝有关?,唐明皇
106,五十岁,“知天命”代指什么年纪?,六十岁
107,倒退,"请问:火车连续发出两声长鸣,这表示什么信息？",停留
108,雷达测不到,“隐形飞机”是指什么样的飞机?,体积太小
109,南京,下列古都哪个被称为“六朝古都”？,洛阳
110,马铃薯,野马不信，揪着老鼠的衣服把它提了起来。打一种植物。,红薯
111,荷兰豆,土豆要去跟包子决斗，可是前面有一条河，他过不去。打一植物。,豆角
112,豆沙包,决斗开始了，土豆捅了包子致命一刀。打一食物。,菜包
113,H,"铅笔有硬软之分,用英文字母来表示,下列符号相比哪个表示较硬？",B
114,少见多怪,“蜀犬吠日”的意思是什么？,声音响亮
115,加拿大,白求恩是何方人士？,美国
116,两头牛,一头公牛加一头母牛，猜三个字？,公与母
117,好色之徒,油漆工的徒弟叫啥？,高徒
118,心理,商店里一双皮鞋的价格是298元，不是300元，商店根据什么这样定价？,数字吉利
119,年龄,什么东西往上升永远掉不下来？,气球
120,田鸡,什么鸡没有翅膀？,家鸡
121,肝脏,人体最大的解毒器官是什么？,小肠
122,玄奘,西游记中去西天取经的“唐三藏”的真名是什么？,唐僧
123,囚车,为什么流氓坐车不要钱？,脸皮厚
124,系鞋带,最早拉链的发明是为了代替什么？,窗帘
125,帐要短结,谚语“人要长交”的下句是什么？,路要慢行
126,饿死,一只蚂蚁从几百万米高的山峰落下来会怎么死？,冻死
127,甲烷,最简单的有机化合物是什么？,乙烯
128,凶器,一架空调器从高楼掉下来会变成啥器？,还是电器
129,树不会跳,为什么青蛙可以跳得比树高？,树倒了
130,由出租的人,租出去的房应该由谁来维修？,谁弄坏谁修
131,气球,啥肥得快，瘦得更快？,猪
132,氢元素,就目前观察，宇宙空间含量最多的元素是什么?,氦元素
133,安卡拉,土耳其的首都在哪？,布尔萨
134,怪物,什么东西有两个脑袋六条腿，一根尾巴七双手，还会边走边叫？?,鸭嘴兽
135,窗户,能够使我们的眼睛透过一堵墙的是什么？,电钻机
136,蜗牛,说它是牛不是牛，力小能背房子走。,没有这种牛
137,闪,门里站着一个人，打一字。,闫
138,六,"两只蚂蚁抬根杠,一只蚂蚁杠上望?，打一字。",久
139,指头,五个兄弟，住在一起，名字不同，高矮不齐。打一人体器官。,牙齿
140,一小时,医生给了你三颗药丸，要你从现在起每半个小时吃一颗，请问吃完需要多长时间??,半小时
141,右手,右手永远抓不到什么？,后背
142,孙思邈,以下哪一位曾被称为“药王”？,华佗
143,他是个聋子,为什么阿福总要等老师动手才去听老师的话？,他是个瞎子
144,把水改名字,用什么方法可以使人不喝水？?,喝饮料
145,30,你现在进行的答题活动，总共有多少道题目？,25
146,小白兔,小白加小白等于什么？,还是小白
147,槟榔,有一只狼来到了北极，不小心掉到冰海中，被捞起来时变成了什么？,落汤狼
148,保重,胖妞生病了，最怕别人来探病时说什么？,记得吃饭
149,没了,铁放到外面要生锈，那金子呢??,被风吹
150,孤儿,法王路易十四被砍头后他的儿子当了什么？,路易斯
151,吐鲁番盆地,《西游记》中的火焰山是今天的哪里？,撒哈拉沙漠
152,更慢,菜汤上浮着一层油会使菜汤凉得怎么样？,不变
153,浮游生物,海洋中最多的生物是什么？,鱼类
154,风力,蒲公英靠什么传播种子？,弹射传播
155,一样轻,一公斤铁和一公斤棉花哪一个轻？,棉花
156,乌龟,下面哪种真正是“鱼”？,海豚
157,天然海水珠,下面3种珍珠哪一种最珍贵？,天然淡水珠
158,新闻、文化,普利策奖是什么方面的大奖？,体育
